"site_id","name","fine_storm_phase","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys","cluster_lat","cluster_lon"
20,NA,"control",7368,199,0,49,4,34,15,78,5564,233,0,37,4,17,0,66,2257,199,0,15,2,0,0,17,149,27.7692100183066,-97.1000093112128
21,"BERYL","post",15,15,15,15,NA,15,15,15,0,0,0,0,NA,0,0,0,15,15,15,15,NA,15,15,15,1,27.5930081365741,-97.2142365694444
21,"BERYL","pre",111,97,14,56,41,56,35,76,111,97,14,56,41,56,35,76,0,0,0,0,0,0,0,0,2,27.5930081365741,-97.2142365694444
21,"BETA","post",676,324,8,113,53,64,14,180,21,21,0,4,4,0,0,0,678,324,8,113,52,64,16,180,6,27.5930081365741,-97.2142365694444
21,"BETA","pre",380,153,17,76,26,70,28,112,390,153,0,78,30,108,17,112,78,50,0,16,10,0,0,28,5,27.5930081365741,-97.2142365694444
21,"HANNA","post",92,33,15,23,4,22,16,29,76,33,0,19,7,22,11,29,16,16,0,4,4,0,0,4,4,27.5930081365741,-97.2142365694444
21,"HANNA","pre",190,56,3,32,8,40,19,40,63,39,0,10,6,6,1,11,171,73,0,28,13,21,0,52,6,27.5930081365741,-97.2142365694444
21,"IMELDA","post",584,106,40,73,7,74,67,80,252,106,0,32,16,0,0,72,332,87,0,42,13,46,0,75,8,27.5930081365741,-97.2142365694444
21,"IMELDA","pre",346,121,0,58,17,54,40,75,196,121,0,33,20,6,0,50,229,112,0,38,20,19,0,69,6,27.5930081365741,-97.2142365694444
21,"NICHOLAS","post",150,147,3,75,72,75,39,111,151,147,4,76,72,76,40,111,1,1,0,0,0,0,0,1,2,27.5930081365741,-97.2142365694444
21,"NICHOLAS","pre",100,100,100,100,NA,100,100,100,0,0,0,0,NA,0,0,0,100,100,100,100,NA,100,100,100,1,27.5930081365741,-97.2142365694444
