"name","fine_storm_phase","fine_response","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys"
"MINDY","post","extended",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"MINDY","pre","extended",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"MINDY","pre","subacute",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"NESTOR","during","acute",46,46,46,46,NA,46,46,46,46,46,46,46,NA,46,46,46,0,0,0,0,NA,0,0,0,1
"NESTOR","post","extended",12,12,12,12,NA,12,12,12,0,0,0,0,NA,0,0,0,12,12,12,12,NA,12,12,12,1
"NESTOR","post","subacute",2,2,2,2,NA,2,2,2,0,0,0,0,NA,0,0,0,2,2,2,2,NA,2,2,2,1
"NESTOR","pre","extended",15,15,15,15,NA,15,15,15,0,0,0,0,NA,0,0,0,15,15,15,15,NA,15,15,15,1
"NESTOR","pre","subacute",35,35,35,35,NA,35,35,35,35,35,35,35,NA,35,35,35,0,0,0,0,NA,0,0,0,1
"NICHOLAS","post","acute",22,22,22,22,NA,22,22,22,22,22,22,22,NA,22,22,22,0,0,0,0,NA,0,0,0,1
"NICHOLAS","post","extended",76,76,76,76,NA,76,76,76,76,76,76,76,NA,76,76,76,0,0,0,0,NA,0,0,0,1
"NICHOLAS","post","subacute",29,29,29,29,NA,29,29,29,0,0,0,0,NA,0,0,0,29,29,29,29,NA,29,29,29,1
"NICHOLAS","pre","extended",123,123,123,123,NA,123,123,123,0,0,0,0,NA,0,0,0,123,123,123,123,NA,123,123,123,1
"NICHOLAS","pre","subacute",22,22,22,22,NA,22,22,22,22,22,22,22,NA,22,22,22,0,0,0,0,NA,0,0,0,1
"OLGA","post","acute",18,18,18,18,NA,18,18,18,0,0,0,0,NA,0,0,0,18,18,18,18,NA,18,18,18,1
