"site_id","name","cluster_lon","cluster_lat","mean_abundance_total_post","mean_abundance_total_pre","mean_abundance_total_control","mean_abundance_new_post","mean_abundance_new_pre","mean_abundance_new_control","mean_abundance_old_post","mean_abundance_old_pre","mean_abundance_old_control","median_abundance_total_post","median_abundance_total_pre","median_abundance_total_control","median_abundance_new_post","median_abundance_new_pre","median_abundance_new_control","median_abundance_old_post","median_abundance_old_pre","median_abundance_old_control","pcs_change_mean_total","pcs_change_mean_new","pcs_change_mean_old","pcs_change_median_total","pcs_change_median_new","pcs_change_median_old","change_type_mean_total","change_type_mean_new","change_type_mean_old","change_type_median_total","change_type_median_new","change_type_median_old"
24,"GRACE",-96.1244223623188,19.1943324637681,6,9,NA,0,0,NA,6,9,NA,6,9,NA,0,0,NA,6,9,NA,-3,0,-3,-3,0,-3,"depletion","no_change","depletion","depletion","no_change","depletion"
24,"KARL",-96.1244223623188,19.1943324637681,50,10,NA,0,0,NA,50,10,NA,50,10,NA,0,0,NA,50,10,NA,40,0,40,40,0,40,"accumulation","no_change","accumulation","accumulation","no_change","accumulation"
24,NA,-96.1244223623188,19.1943324637681,NA,NA,35,NA,NA,1,NA,NA,36,NA,NA,23,NA,NA,0,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"GRACE",-96.0986502173913,19.1046781304348,8,2,NA,0,0,NA,8,2,NA,8,2,NA,0,0,NA,8,2,NA,6,0,6,6,0,6,"accumulation","no_change","accumulation","accumulation","no_change","accumulation"
25,NA,-96.0986502173913,19.1046781304348,NA,NA,17,NA,NA,5,NA,NA,14,NA,NA,16,NA,NA,0,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"GRACE",-95.9051875555556,18.8645838888889,11,13,NA,11,0,NA,0,13,NA,11,13,NA,11,0,NA,0,13,NA,-2,11,-13,-2,11,-13,"depletion","accumulation","depletion","depletion","accumulation","depletion"
26,NA,-95.9051875555556,18.8645838888889,NA,NA,43,NA,NA,4,NA,NA,39,NA,NA,21,NA,NA,0,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"BARRY",-85.2670577826087,29.6827144782609,8,2,NA,0,2,NA,8,0,NA,8,2,NA,0,2,NA,8,0,NA,6,-2,8,6,-2,8,"accumulation","depletion","accumulation","accumulation","depletion","accumulation"
27,"FAY",-85.2670577826087,29.6827144782609,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
27,NA,-85.2670577826087,29.6827144782609,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"MINDY",-85.3101902857143,29.6827152857143,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
28,NA,-85.3101902857143,29.6827152857143,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"BARRY",-87.8377128928571,30.3767237857143,1,2,NA,0,0,NA,1,2,NA,1,2,NA,0,0,NA,1,2,NA,-1,0,-1,-1,0,-1,"depletion","no_change","depletion","depletion","no_change","depletion"
29,"CRISTOBAL",-87.8377128928571,30.3767237857143,1,1,NA,0,1,NA,1,0,NA,1,1,NA,0,1,NA,1,0,NA,0,-1,1,0,-1,1,"no_change","depletion","accumulation","no_change","depletion","accumulation"
29,NA,-87.8377128928571,30.3767237857143,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"CRISTOBAL",-87.8525756521739,30.3787915652174,4,4,NA,0,4,NA,4,5,NA,4,4,NA,0,4,NA,4,5,NA,0,-4,-1,0,-4,-1,"no_change","depletion","depletion","no_change","depletion","depletion"
30,"NESTOR",-87.8525756521739,30.3787915652174,2,2,NA,0,0,NA,2,2,NA,2,2,NA,0,0,NA,2,2,NA,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
30,NA,-87.8525756521739,30.3787915652174,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"NESTOR",-88.1188935,30.2442031,7,3,NA,7,0,NA,0,3,NA,7,3,NA,7,0,NA,0,3,NA,4,7,-3,4,7,-3,"accumulation","accumulation","depletion","accumulation","accumulation","depletion"
31,NA,-88.1188935,30.2442031,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"CLAUDETTE",-90.0719117241379,29.1769082068966,30,27,NA,29,27,NA,1,0,NA,26,27,NA,26,27,NA,0,0,NA,3,2,1,-1,-1,0,"accumulation","accumulation","accumulation","depletion","depletion","no_change"
32,NA,-90.0719117241379,29.1769082068966,NA,NA,24,NA,NA,22,NA,NA,1,NA,NA,16,NA,NA,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
